UMAP1,UMAP2
1.8117805,10.461828
-1.399691,3.0989172
2.400925,6.2628446
6.422145,1.3810012
10.930431,11.072618
2.4931,6.6089554
12.028687,10.535112
0.7567946,7.422733
12.076184,10.617139
0.12332752,7.2430367
8.211405,-1.5767348
10.842955,11.885553
2.8783453,6.901228
-2.2748168,4.484014
-2.3149362,8.872126
2.1765654,6.955176
7.2496166,1.8993675
-2.2178721,4.2631803
5.5945916,0.922544
12.019931,10.883419
10.347117,9.743061
12.027808,11.916825
-2.560093,3.5413082
1.1579183,6.4070263
1.4595746,7.1363063
6.483439,3.6355853
10.905821,10.813302
-1.2554637,4.459309
10.086899,10.837275
8.300429,1.0976528
-1.7794918,3.7623715
9.097455,-1.1036961
8.650025,-1.2453977
11.939245,11.058037
1.0597514,5.831776
9.98785,10.911169
6.103384,3.5486073
-2.2076044,7.5707164
-0.3943661,4.033304
-2.1421924,7.8270364
-2.403252,8.546714
-1.9352124,4.3737683
10.734625,8.943958
-1.1712527,4.334491
-0.4338354,7.9789195
0.25286,7.4001603
6.4296465,0.77093846
1.085651,6.1826324
10.55285,10.23996
6.320944,2.5533237
8.203427,-1.8508321
-2.788409,9.001804
12.693589,11.358575
8.713963,-1.0029248
10.448404,10.347543
-1.8104247,8.751555
12.294153,10.611639
9.625032,11.243051
-1.3066436,2.79036
11.845772,10.3522625
12.111729,8.63319
12.172429,11.879926
-1.0330546,2.456382
-1.2620587,2.4470654
-1.8795674,8.336645
-1.7625078,2.4206707
-2.6405423,3.5190723
6.1418166,1.6784564
2.2338138,5.6178603
10.842744,10.284153
-2.358398,3.9910357
-1.1372242,2.5236335
10.667918,10.289518
0.51918614,8.887377
1.7791101,10.484057
10.208462,10.344133
0.6890429,10.243512
11.78894,7.649449
-2.3453326,7.9833446
7.5757656,1.8207285
0.9574152,6.9934363
10.584741,11.243512
-1.6716536,3.8610811
1.8598555,11.289616
10.315248,11.466036
-1.7895068,8.240519
-0.7216537,3.7728562
-1.6598773,2.4291298
10.169969,9.905757
10.644695,11.882941
10.869243,11.248883
8.87477,-1.3625585
6.308796,2.9532309
12.26959,11.871935
5.648956,3.6562197
10.503682,11.50771
8.630297,-1.2229804
12.441536,8.378823
-1.8023005,8.617003
8.103267,-0.8511794
-1.0214,8.563318
6.1052423,3.9732168
0.89190423,7.7358804
10.3323555,10.569306
-1.4000537,4.2315025
-0.5175125,4.5206366
10.946148,11.558025
-0.9788368,7.969161
8.9443035,-0.89274704
9.745467,10.862986
6.933261,2.3818705
2.1222565,5.946843
1.7963367,10.36407
10.22506,10.450801
1.3921936,7.1478734
-0.036048185,10.181737
6.31081,3.901762
-2.0770676,7.6971993
-0.6956377,7.2559953
6.3938937,3.5997722
10.117999,11.47684
0.29688376,9.825493
7.6492863,-1.1707373
5.5569797,3.988024
-1.725834,8.347286
12.143392,8.512651
1.5465059,6.6073966
1.5996068,10.688906
0.42692035,9.968723
6.3148847,3.0528035
6.060841,1.0682565
11.663596,11.623108
2.7979262,6.236722
5.566798,0.89380866
10.855645,11.765143
0.61642784,6.3998632
-2.6116104,3.6869683
1.3503704,5.3270636
2.2954094,5.684473
10.226215,11.814255
2.661354,5.795498
7.669113,1.6054946
6.083512,0.85969526
11.431567,12.109674
11.490881,8.024188
1.5644348,5.467784
7.132312,1.3826126
0.9551148,6.045307
5.945543,2.5332139
8.303683,-1.9918494
8.754115,-1.0973471
5.617132,1.1192762
6.2957077,3.7979453
0.5368037,8.786041
0.07553331,10.201782
-1.4508611,3.7711549
-1.7033143,3.971847
11.040714,11.905518
-1.6540016,4.181617
10.905099,11.923869
-2.6409497,8.840725
12.130342,10.965673
7.2523685,1.6831784
0.9332671,8.744076
-1.1374797,2.4877229
7.9723735,-1.5246843
1.1756539,6.7019734
11.676672,10.300449
11.058089,11.060428
12.071657,11.148164
6.222005,3.728287
1.8565978,11.094544
-0.7181968,7.249716
11.259566,8.519955
0.9331587,7.9653087
-2.6986341,3.703908
-1.7050412,8.307051
10.663609,10.763459
2.0468764,6.5891104
11.786509,12.093445
12.05487,8.708881
11.516743,7.529507
-1.5692168,8.689386
10.699596,11.652285
-1.3106111,2.5142455
-1.2326857,3.1816611
0.9911984,5.4815474
8.228691,1.2305691
-0.049296424,10.194111
12.151038,10.931435
6.3272505,3.2862227
8.457097,-1.7156382
0.8400007,7.184991
0.5044032,9.171625
6.2271996,0.88636124
-1.8079821,8.810896
10.809507,12.097516
12.427729,8.68127
12.86348,10.994164
0.4172488,7.0878453
10.824525,8.176273
6.0056605,1.2696422
-1.7833596,2.790417
12.057052,10.927308
-1.7656797,2.4928148
-2.384649,3.7731466
-0.90380794,2.9245732
5.725668,2.7007284
-1.2689775,2.8865077
1.7041641,6.8413844
-1.7416865,8.382994
8.888232,-0.88916427
6.0820603,3.9371758
6.2148623,3.1513789
10.185088,10.432599
7.4012604,1.5021135
-2.739588,9.013001
-2.2834675,3.4446154
7.0238075,1.429482
5.572196,0.92558575
12.415232,8.2051935
0.88655776,6.1271443
0.3401291,10.56756
-2.2814703,8.4551115
5.4507933,3.3920956
11.5206175,10.833307
-2.5965643,7.9728413
10.149669,11.101449
11.865438,11.072686
12.387407,8.362187
1.0207838,5.4443884
1.6063141,7.703001
1.54028,10.867904
12.633572,11.515309
-0.84804964,2.8256032
11.33105,11.936453
7.922605,-1.5822518
0.24048595,9.529754
1.43537,7.0949197
2.523386,5.835436
12.679513,10.975801
10.520053,11.163758
6.2688537,3.8399205
8.322574,-1.8592045
-0.77818346,7.888339
10.571548,11.3441725
10.42588,9.995809
